Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-07-31,Beverly Hills Cop,1984,https://boxd.it/6ZNvah,5,,,2024-07-01
2024-08-13,Lawrence of Arabia,1962,https://boxd.it/75C0yp,5,,,2024-08-01
2024-08-20,Alien: Romulus,2024,https://boxd.it/78EBdJ,3.5,,,2024-08-01
2024-08-20,Trap,2024,https://boxd.it/78VZFh,2,,,2024-08-01
2024-08-24,Blink Twice,2024,https://boxd.it/7akk6f,1.5,,,2024-08-01
2024-08-27,Dìdi (弟弟),2024,https://boxd.it/7bRfEV,4,,,2024-08-01
2024-09-03,My Penguin Friend,2024,https://boxd.it/7f34sP,3,,,2024-08-01
2024-09-03,The Last Starfighter,1984,https://boxd.it/7f35RB,3,,,2024-08-01
2024-09-03,The Terminator,1984,https://boxd.it/7f34ZJ,4.5,,,2024-09-01
2024-09-06,Afraid,2024,https://boxd.it/7gCplz,1.5,,,2024-09-01
2024-09-17,1992,2022,https://boxd.it/7lnkUJ,3,Yes,,2024-09-01
2024-09-18,Speak No Evil,2024,https://boxd.it/7m5j5X,3,,,2024-09-01
2024-09-28,Wolfs,2024,https://boxd.it/7pZi2H,2.5,,,2024-09-01
2024-09-28,Whiplash,2014,https://boxd.it/7pZioD,5,,,2024-09-01
2024-09-29,The Wild Robot,2024,https://boxd.it/7qJvtt,4,Yes,,2024-09-01
2024-10-07,The Texas Chain Saw Massacre,1974,https://boxd.it/7uNJKd,5,,,2024-10-01
2024-10-14,The Wild Robot,2024,https://boxd.it/7y3udx,4,,,2024-10-01
2024-10-31,Smile 2,2024,https://boxd.it/7GwuYX,2.5,Yes,,2024-10-01
2024-11-05,Here,2024,https://boxd.it/7JEqll,2,Yes,,2024-11-01
2024-11-07,Conclave,2024,https://boxd.it/7KmbsT,3.5,Yes,,2024-11-01
2024-11-11,Heretic,2024,https://boxd.it/7MyouP,3.5,,,2024-11-01
2024-11-14,Anora,2024,https://boxd.it/7NTBvH,3,Yes,,2024-11-01
2024-11-15,Blitz,2024,https://boxd.it/7OixFt,3,Yes,,2024-11-01
2024-11-19,The Fifth Element,1997,https://boxd.it/7QcXSz,3.5,,,2024-11-01
2024-11-19,Elevation,2024,https://boxd.it/7QA6ST,2.5,Yes,,2024-11-01
2024-12-05,Flow,2024,https://boxd.it/7YjOIh,,,,2024-11-01
2024-12-05,Gladiator II,2024,https://boxd.it/7YjNqr,2.5,,,2024-12-01
2024-12-09,My Neighbor Totoro,1988,https://boxd.it/80x11p,4.5,,,2024-12-01
2024-12-13,Interstellar,2014,https://boxd.it/82c653,5,,,2024-12-01
2024-12-23,Flow,2024,https://boxd.it/88fNvj,4.5,Yes,,2024-12-01
2024-12-28,Sonic the Hedgehog 3,2024,https://boxd.it/8caPsH,2.5,,,2024-12-01
2024-12-30,Mufasa: The Lion King,2024,https://boxd.it/8dzwFV,2.5,,,2024-12-01
2025-01-05,Wicked,2024,https://boxd.it/8k1uM1,2.5,,,2025-01-01
2025-01-05,Nosferatu,2024,https://boxd.it/8k1xtL,3.5,,,2025-01-01
2025-01-07,Se7en,1995,https://boxd.it/8lY4P1,5,,,2025-01-01
2025-01-10,A Complete Unknown,2024,https://boxd.it/8obc8j,4,,,2025-01-01
2025-01-11,Babygirl,2024,https://boxd.it/8q8tP7,3,,,2025-01-01
2025-01-16,The Count of Monte Cristo,2024,https://boxd.it/8uDfBN,4,,,2025-01-01
