Date,Name,Year,Letterboxd URI,Rating
2023-01-01,Witness,1985,https://boxd.it/1Z4O,4
2023-01-01,An Officer and a Gentleman,1982,https://boxd.it/26xS,4
2023-01-02,Puss in Boots,2011,https://boxd.it/eL34,3
2023-01-12,M3GAN,2022,https://boxd.it/jxmG,3
2023-01-27,Women Talking,2022,https://boxd.it/tdq4,4
2023-01-27,Top Gun: Maverick,2022,https://boxd.it/cjr4,5
2023-01-30,Singin' in the Rain,1952,https://boxd.it/29oY,5
2023-02-15,The Fugitive,1993,https://boxd.it/230G,4.5
2023-02-21,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/nL2y,3.5
2023-02-28,Elvis,2022,https://boxd.it/mK4w,2.5
2023-03-04,TÁR,2022,https://boxd.it/uNIA,3
2023-03-04,Triangle of Sadness,2022,https://boxd.it/hXlq,4
2023-03-04,Scream 2,1997,https://boxd.it/24Es,4
2023-03-04,Scream 3,2000,https://boxd.it/24Ei,3
2023-03-04,Scream 4,2011,https://boxd.it/Zmc,3
2023-03-04,Rocky III,1982,https://boxd.it/28Tw,4.5
2023-03-04,Creed,2015,https://boxd.it/a2qk,4.5
2023-03-04,Rocky IV,1985,https://boxd.it/28T2,4
2023-03-04,Rocky,1976,https://boxd.it/28Uk,4
2023-03-04,Creed II,2018,https://boxd.it/hgl8,4
2023-03-04,Rocky II,1979,https://boxd.it/28Ua,3.5
2023-03-04,Rocky Balboa,2006,https://boxd.it/291q,3
2023-03-04,Rocky V,1990,https://boxd.it/28SS,1.5
2023-03-07,All Quiet on the Western Front,2022,https://boxd.it/H08,4
2023-03-07,The Fabelmans,2022,https://boxd.it/ugoM,2
2023-03-11,Creed III,2023,https://boxd.it/pf68,3.5
2023-03-11,Scream VI,2023,https://boxd.it/zdfW,3
2023-03-11,Scream,1996,https://boxd.it/24EC,5
2023-03-14,Knock at the Cabin,2023,https://boxd.it/npL2,2
2023-04-04,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/hN1A,3.5
2023-04-11,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,3
2023-04-12,Air,2023,https://boxd.it/Arlc,3.5
2023-04-30,Evil Dead Rise,2023,https://boxd.it/qIvo,3
2023-04-30,Return of the Jedi,1983,https://boxd.it/27Vm,4
2023-04-30,The Return of the Living Dead,1985,https://boxd.it/1V3W,5
2023-06-09,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,4
2023-06-09,The Boogeyman,2023,https://boxd.it/jnna,3
2023-06-09,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/fVNI,3.5
2023-06-09,Spirited Away,2001,https://boxd.it/2b4m,4
2023-06-09,Avengers: Infinity War,2018,https://boxd.it/9vEe,4.5
2023-06-09,Guardians of the Galaxy,2014,https://boxd.it/3VH2,4.5
2023-06-09,Avengers: Endgame,2019,https://boxd.it/9vE4,5
2023-06-09,The Godfather,1972,https://boxd.it/2aNK,5
2023-06-29,No Hard Feelings,2023,https://boxd.it/xouu,3
2023-07-04,Inception,2010,https://boxd.it/1skk,5
2023-07-04,Indiana Jones and the Dial of Destiny,2023,https://boxd.it/b8vM,2.5
2023-07-06,The Last Days of Disco,1998,https://boxd.it/1JpQ,5
2023-07-06,Barcelona,1994,https://boxd.it/1JHq,4
2023-07-06,Metropolitan,1990,https://boxd.it/1Mku,4
2023-07-06,Love & Friendship,2016,https://boxd.it/9nM0,3.5
2023-07-06,Damsels in Distress,2011,https://boxd.it/2TjK,3.5
2023-07-06,Eastern Promises,2007,https://boxd.it/275q,4.5
2023-07-18,Mission: Impossible II,2000,https://boxd.it/29cS,3
2023-07-18,Mission: Impossible III,2006,https://boxd.it/29cI,3.5
2023-07-18,Mission: Impossible – Ghost Protocol,2011,https://boxd.it/psI,3.5
2023-07-18,Mission: Impossible,1996,https://boxd.it/29d2,4
2023-07-18,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS,4
2023-07-18,Mission: Impossible – Rogue Nation,2015,https://boxd.it/5rI4,4.5
2023-07-18,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc,4.5
2023-07-25,Barbie,2023,https://boxd.it/bCLK,3.5
2023-07-26,Frantic,1988,https://boxd.it/1VFm,3.5
2023-07-31,Haunted Mansion,2023,https://boxd.it/mOsi,2.5
2023-08-05,Talk to Me,2022,https://boxd.it/C6uQ,3.5
2023-08-08,Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,https://boxd.it/mK0a,3
2023-08-09,Meg 2: The Trench,2023,https://boxd.it/mLvo,3
2023-08-28,Gran Turismo,2023,https://boxd.it/B2lS,3
2023-09-16,A Haunting in Venice,2023,https://boxd.it/zGdg,3.5
2023-09-21,The Equalizer 3,2023,https://boxd.it/yU54,3
2023-09-21,Training Day,2001,https://boxd.it/27A4,4.5
2023-10-10,In the Name of the Father,1993,https://boxd.it/20I6,4.5
2023-10-10,Saw X,2023,https://boxd.it/zUWk,3.5
2023-10-17,The Exorcist: Believer,2023,https://boxd.it/uotK,2
2023-10-26,The Nice Guys,2016,https://boxd.it/94Hg,4
2023-10-30,Five Nights at Freddy's,2023,https://boxd.it/ikHu,2.5
2023-11-09,Killers of the Flower Moon,2023,https://boxd.it/gHp0,3.5
2023-11-22,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,4
2023-11-24,Jurassic Park,1993,https://boxd.it/2aA2,4
2023-11-26,Nelly and Monsieur Arnaud,1995,https://boxd.it/1Ruu,5
2023-12-14,Die Hard,1988,https://boxd.it/2a7u,4.5
2023-12-14,White Christmas,1954,https://boxd.it/1Qky,4.5
2023-12-29,Migration,2023,https://boxd.it/ztfo,3
2023-12-30,The Color Purple,2023,https://boxd.it/ksja,3.5
2023-12-30,Wonka,2023,https://boxd.it/tCQm,2.5
2023-12-30,The Marvels,2023,https://boxd.it/mwU4,2
2024-01-03,The Boys in the Boat,2023,https://boxd.it/v1OC,3
2024-01-16,The Boy and the Heron,2023,https://boxd.it/ipeM,4
2024-01-16,Elf,2003,https://boxd.it/1VyK,4.5
2024-01-23,Oppenheimer,2023,https://boxd.it/wUow,4.5
2024-01-24,Poor Things,2023,https://boxd.it/tNWU,2
2024-02-06,American Fiction,2023,https://boxd.it/DYHm,4
2024-02-15,The Taste of Things,2023,https://boxd.it/Arke,4.5
2024-02-18,Past Lives,2023,https://boxd.it/oNB8,3
2024-02-19,Argylle,2024,https://boxd.it/w1kk,1.5
2024-02-23,The Zone of Interest,2023,https://boxd.it/gJsA,4.5
2024-02-23,The Holdovers,2023,https://boxd.it/vHza,4
2024-03-11,Anatomy of a Fall,2023,https://boxd.it/yuDE,3.5
2024-03-11,Maestro,2023,https://boxd.it/j0DE,3
2024-03-19,Kung Fu Panda 4,2024,https://boxd.it/CepE,3.5
2024-03-21,Dune,2021,https://boxd.it/fA7G,4
2024-03-27,Arthur the King,2024,https://boxd.it/mSJ8,3.5
2024-04-17,Civil War,2024,https://boxd.it/z1jW,1.5
2024-04-22,Deep Sky,2023,https://boxd.it/J4wu,3.5
2024-04-30,Challengers,2024,https://boxd.it/zld0,3.5
2024-05-06,The Fall Guy,2024,https://boxd.it/s0Bm,3.5
2024-05-06,Steel Magnolias,1989,https://boxd.it/1Vd8,4.5
2024-05-22,The Strangers: Chapter 1,2024,https://boxd.it/CcEM,3.5
2024-05-27,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,4
2024-05-27,Kingdom of the Planet of the Apes,2024,https://boxd.it/ohEE,3.5
2024-05-27,Abigail,2024,https://boxd.it/G0NA,2.5
2024-06-12,Bad Boys: Ride or Die,2024,https://boxd.it/l3Ki,2.5
2024-06-12,In a Violent Nature,2024,https://boxd.it/K5eI,3
2024-06-14,The Garfield Movie,2024,https://boxd.it/s93y,3.5
2024-06-18,Field of Dreams,1989,https://boxd.it/26VK,5
2024-06-23,Inside Out 2,2024,https://boxd.it/CFrC,4
2024-06-28,The Brood,1979,https://boxd.it/1ovS,4
2024-07-03,Horizon: An American Saga – Chapter 1,2024,https://boxd.it/z7yy,3.5
2024-07-06,Despicable Me 4,2024,https://boxd.it/iOLG,3.5
2024-07-09,MaXXXine,2024,https://boxd.it/CIM4,2.5
2024-07-09,Thelma,2024,https://boxd.it/DOou,3.5
2024-07-09,A Quiet Place: Day One,2024,https://boxd.it/sDAi,3
2024-07-09,IF,2024,https://boxd.it/nJwG,3
2024-07-09,X,2022,https://boxd.it/sxVa,3.5
2024-07-13,Longlegs,2024,https://boxd.it/KzLM,4
2024-07-23,Twisters,2024,https://boxd.it/qV7a,4
2024-07-31,Beverly Hills Cop,1984,https://boxd.it/2baE,5
2024-07-31,48 Hrs.,1982,https://boxd.it/2b18,5
2024-08-12,The Heat,2013,https://boxd.it/4p9a,4
2024-08-13,Lawrence of Arabia,1962,https://boxd.it/2wRE,5
2024-08-20,Trap,2024,https://boxd.it/D4nK,2
2024-08-20,Children of Men,2006,https://boxd.it/1Y2i,4
2024-08-24,Blink Twice,2024,https://boxd.it/vIOg,1.5
2024-08-27,Dìdi (弟弟),2024,https://boxd.it/HQOW,4
2024-09-03,My Penguin Friend,2024,https://boxd.it/HRHC,3
2024-09-03,The Last Starfighter,1984,https://boxd.it/1SRk,3
2024-09-06,Afraid,2024,https://boxd.it/Ec7s,1.5
2024-09-17,1992,2022,https://boxd.it/eB6C,3
2024-09-28,Wolfs,2024,https://boxd.it/x6zG,2.5
2024-09-29,The Wild Robot,2024,https://boxd.it/IWFy,4
2024-10-14,Texas Chainsaw 3D,2013,https://boxd.it/2E7O,3
2024-10-14,The Texas Chainsaw Massacre 2,1986,https://boxd.it/1Kk8,4
2024-10-31,Smile 2,2024,https://boxd.it/FDA4,2.5
2024-11-07,Conclave,2024,https://boxd.it/AO8q,3.5
2024-11-11,Heretic,2024,https://boxd.it/H1lY,3.5
2024-11-19,The Fifth Element,1997,https://boxd.it/71k,3.5
2024-12-05,Gladiator II,2024,https://boxd.it/kqQQ,2.5
2024-12-09,My Neighbor Totoro,1988,https://boxd.it/20eA,4.5
2024-12-09,Elevation,2024,https://boxd.it/D9Li,2
2024-12-09,Anora,2024,https://boxd.it/Egcw,3
2024-12-09,Blitz,2024,https://boxd.it/xR8i,3
2024-12-23,Flow,2024,https://boxd.it/v1Ei,4.5
2024-12-23,Late Night with the Devil,2023,https://boxd.it/zo6G,3
2024-12-28,Sonic the Hedgehog 3,2024,https://boxd.it/zq0U,2.5
2024-12-30,Mufasa: The Lion King,2024,https://boxd.it/sE9C,2.5
2025-01-05,Nosferatu,2024,https://boxd.it/f5eG,3.5
2025-01-07,Se7en,1995,https://boxd.it/29zs,5
2025-01-11,Wicked,2024,https://boxd.it/e8ME,2.5
2025-01-11,Here,2024,https://boxd.it/zscS,2
2025-01-11,Interstellar,2014,https://boxd.it/4VZ8,5
2025-01-11,A Complete Unknown,2024,https://boxd.it/oBYa,4
2025-01-16,The Count of Monte Cristo,2024,https://boxd.it/F1Nk,4
2025-01-20,Wolf Man,2025,https://boxd.it/qzSI,2
2025-01-27,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,5
2025-01-29,Presence,2024,https://boxd.it/H88i,3.5
2025-02-06,Companion,2025,https://boxd.it/F04o,3.5
2025-02-10,Speak No Evil,2024,https://boxd.it/G9f8,3
2025-02-10,Alien: Romulus,2024,https://boxd.it/zGqO,3.5
2025-02-11,Godzilla × Kong: The New Empire,2024,https://boxd.it/v1PK,2.5
2025-02-11,I'm Still Here,2024,https://boxd.it/BPEO,4
2025-02-11,The Brutalist,2024,https://boxd.it/k4BO,2.5
2025-02-11,Babygirl,2024,https://boxd.it/Fvai,3
2025-02-23,Jaws,1975,https://boxd.it/2a5e,4.5
2025-02-26,The Substance,2024,https://boxd.it/zanS,3
2025-02-26,Emilia Pérez,2024,https://boxd.it/AP3G,1.5
2025-02-26,Dune: Part Two,2024,https://boxd.it/pUfA,3.5
2025-02-26,Nickel Boys,2024,https://boxd.it/CStQ,4
2025-05-01,Naked Lunch,1991,https://boxd.it/26ow,3.5
2025-05-01,The Dead Zone,1983,https://boxd.it/1U6g,5
2025-05-01,Crash,1996,https://boxd.it/29n2,4
2025-05-01,Videodrome,1983,https://boxd.it/29uC,4
2025-05-01,Scanners,1981,https://boxd.it/1YqE,4
2025-05-01,A History of Violence,2005,https://boxd.it/2bfa,4
2025-12-11,The Karate Kid,1984,https://boxd.it/27Wk,4
2025-12-11,Fletch,1985,https://boxd.it/1XTU,4
2025-12-11,Real Genius,1985,https://boxd.it/1OeI,4.5
2025-12-11,Porky's,1981,https://boxd.it/1WJa,0.5
